Corinthians,GolCorinthians ,vs,GolAdv,ADV,Corinthians_Vitoria
CORINTHIANS,1,versus,2,BOTAFOGO,0
CORINTHIANS,0,versus,0,GRÊMIO,0
CORINTHIANS,0,versus,2,BAHIA,0
CORINTHIANS,3,versus,1,CORITIBA,1
CORINTHIANS,1,versus,1,CRUZEIRO,0
CORINTHIANS,1,versus,1,SÃO PAULO,0
CORINTHIANS,0,versus,0,RACING CLUB,0
CORINTHIANS,1,versus,0,VASCO DA GAMA,1
CORINTHIANS,1,versus,1,RACING CLUB,0
CORINTHIANS,0,versus,2,SANTOS,0
CORINTHIANS,0,versus,1,ATLÉTICO-GO,0
CORINTHIANS,1,versus,0,CHAPECOENSE,1
CORINTHIANS,0,versus,1,VITÓRIA,0
CORINTHIANS,3,versus,1,SPORT,1
CORINTHIANS,2,versus,0,ATLÉTICO-MG,1
CORINTHIANS,1,versus,1,FLAMENGO,0
CORINTHIANS,2,versus,0,PATRIOTAS,1
CORINTHIANS,1,versus,0,FLUMINENSE,1
CORINTHIANS,0,versus,0,AVAÍ,0
CORINTHIANS,2,versus,2,ATHLETICO-PR,0
CORINTHIANS,2,versus,0,PALMEIRAS,1
CORINTHIANS,2,versus,0,PONTE PRETA,1
CORINTHIANS,1,versus,0,BOTAFOGO,1
CORINTHIANS,1,versus,1,PATRIOTAS,0
CORINTHIANS,1,versus,0,GRÊMIO,1
CORINTHIANS,3,versus,0,BAHIA,1
CORINTHIANS,0,versus,0,CORITIBA,0
CORINTHIANS,1,versus,0,CRUZEIRO,1
CORINTHIANS,3,versus,2,SÃO PAULO,1
CORINTHIANS,5,versus,2,VASCO DA GAMA,1
CORINTHIANS,2,versus,0,SANTOS,1
CORINTHIANS,1,versus,0,ATLÉTICO-GO,1
CORINTHIANS,1,versus,0,VITÓRIA,1
